School,Rank,USNWR Ranking Research,USNWR Primary Care Ranking,Applications,Interviews,Percent_interviewed,Admits,Percent_admitted_post_II,MCAT,GPA,AOA,AOA_before_match,Internal_rank,PC_grades,PC_length,Clerkship_grades,NBME_or_in_house,MSPE_adj,Lecture_attendance,Home_hospital,Apps IS,IS II,IS Accepted,IS enrolled,Apps OOS,OOS II,OOS Accepted,OOS enrolled,Total apps,TOTAL II,total accepted,Total enrolled,post II % A,IS % post II-A,OOS % post II-A,A % rate,Step 1,Step 1 % pass,step 2,step 2 pass,OOS II/OOS applicants,Public/Private,OOS/IS matriculants,Median MCAT,Median GPA,class size,% of students OOS,apply OOS to public state school?,IS_A,OOS_A,IS_A/OOS_A,State
Stony Brook University,59.0,55,93-123,"5,712",797,14%,461,58%,517.0,3.89,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/LP/F,NBME Based,Yes,Optional,Stony Brook University Hospital,2011.0,415.0,248.0,87.0,3156.0,342.0,161.0,49.0,5167.0,757.0,409.0,136.0,54.0,59.76,47.08,7.92%,242.0,99%,247.0,99%,10.84,Public,36%,516.0,3.86,136.0,36.03%,YES,12.33217304823471,5.101394169835234,2.417412306846506,NY
Jefferson (Kimmel),60.0,55,59,"11,090",587,5%,438,75%,514.0,3.86,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Optional,Thomas Jefferson University Hospital,1102.0,173.0,110.0,93.0,8814.0,500.0,304.0,179.0,9916.0,673.0,414.0,272.0,61.5,63.58,60.8,4.18%,235.0,99%,245.0,99%,5.67,Private,66%,514.0,3.8,270.0,66.30%,,9.98185117967332,3.4490583163149533,2.8940801413697583,PA
University of Illinois,61.0,55,67,"7,557",705,9%,586,83%,512.0,3.77,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,UI Health,1707.0,468.0,351.0,236.0,3308.0,218.0,190.0,64.0,5015.0,686.0,541.0,300.0,78.9,75.0,87.16,10.79%,229.0,93%,246.0,98%,6.59,Public,21%,513.0,3.76,310.0,20.65%,nah check out their OOS tuition,20.56239015817223,5.743651753325272,3.580020349643881,IL
University of Nebraska,62.0,54,6,"1,912",407,21%,192,47%,512.0,3.94,,,Yes,,1.5 Years,,,Yes,,,308.0,288.0,128.0,113.0,1347.0,184.0,48.0,18.0,1655.0,472.0,176.0,131.0,37.3,44.44,26.09,10.63%,227.0,93%,248.0,99%,13.66,Public,14%,513.0,3.9,126.0,14.29%,yes maybe?,41.55844155844156,3.5634743875278394,11.662337662337663,NE
University of Arizona,63.0,70,58,"7,371",525,7%,194,37%,511.0,3.84,,,,,2 Years,,,,,,768.0,278.0,136.0,89.0,8795.0,200.0,80.0,28.0,9563.0,478.0,216.0,117.0,45.2,48.92,40.0,2.26%,229.0,98%,242.0,99%,2.27,Public,24%,510.0,3.79,120.0,23.33%,no,17.708333333333336,0.9096077316657191,19.46809895833334,AZ
Texas A&M,64.0,75,84,"5,658",645,11%,308,48%,513.0,3.89,,,,,2 Years,,,,,,4149.0,585.0,354.0,157.0,1009.0,82.0,31.0,18.0,5158.0,667.0,385.0,175.0,57.7,60.51,37.8,7.46%,232.0,97%,244.0,99%,8.13,Public,10%,513.0,3.84,126.0,14.29%,,8.532176428054953,3.072348860257681,2.7770858115830475,TX
University of Kentucky,65.0,70,93-123,"3,909",613,16%,281,46%,506.0,3.87,Yes,Yes,No,P/F,2 Years,P/F,Both,Yes,Optional,Chandler Medical Center,579.0,378.0,208.0,171.0,2198.0,140.0,58.0,34.0,2777.0,518.0,266.0,205.0,51.4,55.03,41.43,9.58%,226.0,93%,247.0,99%,6.37,Public,17%,508.0,3.81,166.0,20.48%,yes if ties to state,35.92400690846287,2.6387625113739763,13.613959859448515,KY
University of Vermont,66.0,66,24,"7,174",618,9%,345,56%,513.0,3.75,Yes,Yes,No,P/F,1.5 Years,P/F,Both,Yes,Optional,UVM Medical Center,76.0,67.0,46.0,30.0,5524.0,563.0,267.0,94.0,5600.0,630.0,313.0,124.0,49.7,68.66,47.42,5.59%,229.0,96%,247.0,98%,10.19,Public,76%,512.0,3.7,119.0,78.99%,YES,60.526315789473685,4.833454018826937,12.522373349103095,VT
Virginia Commonwealth,67.0,61,51,"7,437",691,9%,362,52%,513.0,3.88,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Optional,VCU Medical Center,1121.0,359.0,166.0,94.0,6188.0,335.0,203.0,92.0,7309.0,694.0,369.0,186.0,53.2,46.24,60.6,5.05%,230.0,97%,245.0,99%,5.41,Public,49%,513.0,3.82,184.0,50.00%,,14.80820695807315,3.2805429864253397,4.513949983081608,VA
Hofstra,68.0,66,76,"4,493",813,18%,374,46%,518.0,3.9,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Required,Northwell Health,1257.0,310.0,142.0,54.0,2848.0,530.0,198.0,45.0,4105.0,840.0,340.0,99.0,40.5,45.81,37.36,8.28%,239.0,99%,249.0,99%,18.61,Private,45%,518.0,3.84,99.0,45.45%,,11.296738265712012,6.952247191011236,1.6249045747852429,NY
Rush University,69.0,64,69,"8,464",413,5%,261,63%,511.0,3.7,Yes,Yes,No,P/F,2 Years,P/F,In-House Exams,Yes,Optional,Rush University Medical Center,900.0,127.0,73.0,53.0,6586.0,382.0,235.0,102.0,7486.0,509.0,308.0,155.0,60.5,57.48,61.52,4.11%,232.0,100%,245.0,98%,5.8,Private,66%,511.0,3.67,144.0,70.83%,,8.11111111111111,3.5681749164895233,2.2731820330969263,IL
Rutgers (Robert Johnson),70.0,70,93-123,"5,528",494,9%,287,58%,515.0,3.83,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,Robert Wood Johnson University Hospital,1478.0,422.0,237.0,134.0,4121.0,131.0,82.0,40.0,5599.0,553.0,319.0,174.0,57.7,56.16,62.6,5.70%,232.0,98%,246.0,97%,3.18,Public,23%,514.0,3.75,174.0,22.99%,,16.035182679296348,1.989808298956564,8.058657051387835,NJ
Rutgers New Jersey,71.0,66,93-123,"5,919",749,13%,340,45%,516.0,3.85,Yes,Yes,Yes,H/HP/P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,University Hospital,1465.0,485.0,229.0,149.0,4044.0,289.0,135.0,29.0,5509.0,774.0,364.0,178.0,47.0,47.22,46.71,6.61%,233.0,99%,244.0,96%,7.15,Public,16%,515.0,3.82,178.0,16.29%,,15.631399317406144,3.3382789317507418,4.682472506636329,NJ
Temple University,72.0,61,84,"8,408","1,051",13%,448,43%,512.0,3.79,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,Temple University Hospital,978.0,349.0,157.0,101.0,7390.0,620.0,290.0,117.0,8368.0,969.0,447.0,218.0,46.1,44.99,46.77,5.34%,232.0,96%,246.0,99%,8.39,Private,54%,513.0,3.77,200.0,58.50%,,16.05316973415133,3.924221921515562,4.09079049432339,PA
University of Tennessee,73.0,,,"2,777",391,14%,263,67%,512.0,3.91,Yes,Yes,No,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne State University,74.0,66,89,"8,018","1,510",19%,701,46%,513.0,3.86,Yes,Yes,Yes,H/P/F,1.5 Years,H/S+/S/F,Both,Yes,Optional,Detroit Medical Center,1745.0,612.0,369.0,203.0,7775.0,572.0,353.0,88.0,9520.0,1184.0,722.0,291.0,61.0,60.29,61.71,7.58%,234.0,99%,242.0,97%,7.36,Public,30%,513.0,3.86,288.0,30.56%,maybe,21.14613180515759,4.540192926045016,4.657540362184144,MI
University of Kansas,75.0,75,9,"2,587",546,21%,274,50%,510.0,3.87,Yes,Yes,Yes,P/F,1.5 Years,H/P/F,In-House Exams,Yes,Optional,,515.0,379.0,212.0,186.0,2542.0,165.0,50.0,25.0,3057.0,544.0,262.0,211.0,48.2,55.94,30.3,8.57%,230.0,99%,243.0,99%,6.49,Public,12%,511.0,3.88,211.0,11.85%,,41.16504854368932,1.9669551534225018,20.928310679611652,KS
Buffalo (Jacobs),76.0,81,91,"5,170",552,11%,353,64%,511.0,3.79,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,Buffalo General Hospital,1969.0,475.0,277.0,159.0,2392.0,131.0,67.0,23.0,4361.0,606.0,344.0,182.0,56.8,58.32,51.15,7.89%,232.0,97%,244.0,98%,5.48,Public,13%,512.0,3.75,184.0,12.50%,,14.068054850177756,2.801003344481605,5.022505552481372,NY
University of Arkansas,77.0,75,39,"1,350",411,30%,214,52%,507.0,3.85,Yes,Yes,Yes,P/F,2 Years,A/B/C/D/F,Both,Yes,Optional,UAMS Medical Center,338.0,324.0,190.0,160.0,690.0,84.0,18.0,8.0,1028.0,408.0,208.0,168.0,51.0,58.64,21.43,20.23%,224.0,90%,240.0,96%,12.17,Public,5%,508.0,3.77,168.0,4.76%,,56.213017751479285,2.608695652173913,21.54832347140039,AK
University of Oklahoma,78.0,74,51,"1,927",293,15%,202,69%,510.0,3.94,Yes,Yes,Yes,P/F,1.5 Years,A/B/C/D/F,Both,Yes,Optional,OU Medical Center,434.0,284.0,174.0,153.0,2365.0,45.0,32.0,11.0,2799.0,329.0,206.0,164.0,62.6,61.27,71.11,7.36%,231.0,95%,244.0,100%,1.9,Public,7%,511.0,3.85,165.0,6.67%,,40.09216589861751,1.3530655391120507,29.630616359447004,OK
Augusta University (MCG),79.0,75,91,"3,564",593,17%,382,64%,513.0,3.84,,,,P/F,2 Years,,,,,,1273.0,537.0,360.0,236.0,1495.0,47.0,14.0,4.0,2768.0,584.0,374.0,240.0,64.0,67.04,29.79,13.51%,225.0,100%,247.0,99%,3.14,Public,2%,513.0,3.82,230.0,1.74%,,28.27965435978005,0.9364548494983277,30.19863090562227,GA
Hackensack Meridian,80.0,,,"5,799",437,8%,385,88%,515.0,3.82,No,No,Yes,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Required,Hackensack University Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Hawaii,81.0,64,24,"2,792",290,10%,104,36%,513.0,3.88,,,,P/F,2 Years,H/HP/P/F,,,,,300.0,185.0,72.0,67.0,1876.0,121.0,29.0,10.0,2176.0,306.0,101.0,77.0,33.0,38.92,23.97,4.64%,233.0,99%,241.0,100%,6.45,Public,13%,513.0,3.84,72.0,13.89%,,24.0,1.5458422174840085,15.52551724137931,HI
University of Louisville,82.0,75,74,"4,980",416,8%,288,69%,508.0,3.82,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,University of Louisville Health,513.0,313.0,199.0,119.0,4128.0,162.0,96.0,40.0,4641.0,475.0,295.0,159.0,62.1,63.58,59.26,6.36%,227.0,97%,244.0,99%,3.92,Public,25%,509.0,3.77,162.0,24.69%,,38.79142300194932,2.3255813953488373,16.680311890838205,KY
University of New Mexico,83.0,81,28,"1,481",237,16%,130,55%,506.0,3.82,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,UNM Hospital,239.0,210.0,109.0,90.0,1483.0,40.0,14.0,7.0,1722.0,250.0,123.0,97.0,49.2,51.9,35.0,7.14%,220.0,91%,240.0,96%,2.7,Public,7%,505.0,3.8,103.0,6.80%,,45.60669456066946,0.9440323668240054,48.31052002390915,NM
Virginia Tech,84.0,83,93-123,"6,916",287,4%,141,49%,513.0,3.7,,,,,,,,,,,737.0,61.0,27.0,12.0,3562.0,219.0,73.0,36.0,4299.0,280.0,100.0,48.0,35.7,44.26,33.33,2.33%,234.0,98%,248.0,100%,6.15,Public,75%,512.0,3.57,48.0,75.00%,,3.6635006784260513,2.0494104435710274,1.7875875913087116,VA
Saint Louis University,85.0,70,46,"7,246",849,12%,471,55%,513.0,3.93,Yes,Yes,Yes,P/F,1.5 Years,H/NH/P/F,Both,Yes,Optional,St. Louis University Hospital,384.0,70.0,44.0,22.0,5527.0,1024.0,552.0,161.0,5911.0,1094.0,596.0,183.0,54.5,62.86,53.91,10.08%,237.0,98%,247.0,98%,18.53,Private,88%,514.0,3.91,183.0,87.98%,,11.458333333333332,9.98733490139316,1.1472863828502415,MO
Missouri-Columbia,86.0,75,46,"3,201",388,12%,202,52%,509.0,3.85,,,,,,,,,,,560.0,324.0,154.0,109.0,2509.0,82.0,40.0,19.0,3069.0,406.0,194.0,128.0,47.8,47.53,48.78,6.32%,234.0,95%,248.0,99%,3.27,Public,15%,509.0,3.86,112.0,16.96%,,27.500000000000004,1.5942606616181747,17.249375,MO
West Virginia University,87.0,83,67,"4,743",608,13%,179,29%,510.0,3.83,,,,,1 Year,,,,,,212.0,112.0,74.0,61.0,4841.0,499.0,91.0,51.0,5053.0,611.0,165.0,112.0,27.0,66.07,18.24,3.27%,234.0,99%,246.0,100%,10.31,Public,46%,509.0,3.88,112.0,45.54%,YES,34.90566037735849,1.8797769055980171,18.569044163383783,WV
Drexel University,88.0,86,93-123,"13,223","1,603",12%,811,51%,512.0,3.8,,,,,,,,,,,962.0,416.0,233.0,74.0,10670.0,1209.0,589.0,193.0,11632.0,1625.0,822.0,267.0,50.6,56.01,48.72,7.07%,231.0,99%,243.0,97%,11.33,Private,72%,512.0,3.75,256.0,75.39%,,24.22037422037422,5.5201499531396445,4.387629761144192,PA
Michigan State University,89.0,,,"9,172",529,6%,325,61%,509.0,3.8,Yes,Yes,No,P/F,1 Year,H/P/F,Both,Yes,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNY Upstate,90.0,88,93-123,"5,326",757,14%,397,52%,513.0,3.81,,,,,,,,,,,2066.0,543.0,335.0,141.0,2305.0,177.0,78.0,19.0,4371.0,720.0,413.0,160.0,57.4,61.69,44.07,9.45%,230.0,98%,245.0,99%,7.68,Public,12%,513.0,3.77,,,,16.21490803484995,3.383947939262473,4.791713207734505,NY
Missouri-Kansas,91.0,83,64,"2,184",482,22%,222,46%,510.0,3.89,Yes,Yes,No,A/B/C/D/F,1.5 Years,H/HP/SP/MP/F,In-House Exams,Yes,Optional,"University Health, Children’s Mercy Hospital",372.0,151.0,107.0,81.0,1226.0,278.0,99.0,46.0,1598.0,429.0,206.0,127.0,48.0,70.86,35.61,12.89%,226.0,98%,242.0,99%,22.68,Public,36%,509.0,3.89,127.0,36.22%,,28.763440860215056,8.075040783034257,3.5620180297599657,MO
NYU Long Island,92.0,,,"2,498",531,21%,30,6%,515.0,3.84,,,,,1.5 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geisinger Commonwealth,93.0,,,"4,387",823,19%,346,42%,512.0,3.86,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,Both,Yes,Required,Geisinger Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Nevada (Reno),94.0,90,84,"1,557",359,23%,91,25%,509.0,3.76,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Optional,Renown Regional Medical Center,343.0,267.0,83.0,64.0,1300.0,76.0,18.0,6.0,1643.0,343.0,101.0,70.0,29.4,31.09,23.68,6.15%,232.0,98%,244.0,98%,5.85,Public,9%,509.0,3.82,70.0,8.57%,,24.198250728862973,1.3846153846153846,17.476514415289927,NV
University of South Carolina,95.0,90,76,"3,258",350,11%,218,62%,510.0,3.91,Yes,Yes,No,P/F,2 Years,A/B/C/D/F,Both,Yes,Optional,,462.0,225.0,140.0,73.0,2807.0,115.0,61.0,26.0,3269.0,340.0,201.0,99.0,59.1,62.22,53.04,6.15%,230.0,99%,237.0,99%,4.1,Public,26%,508.0,3.79,100.0,26.00%,,30.303030303030305,2.173138582116138,13.944361649279683,SC
Texas Tech University,96.0,,,"5,253",909,17%,266,29%,512.0,3.93,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Riverside,97.0,,,"6,276",295,5%,144,49%,510.0,3.75,No,No,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State University,98.0,93-123,79,"3,973",253,6%,160,63%,509.0,3.86,Yes,Yes,No,P/F,2 Years,H/HP/P/F,NBME Based,Yes,Optional,,2695.0,254.0,144.0,118.0,4453.0,18.0,5.0,2.0,7148.0,272.0,149.0,120.0,54.8,56.69,51.48,2.08%,227.0,95%,243.0,97%,0.4,Public,2%,508.0,3.76,120.0,1.67%,,5.343228200371057,0.11228385358185494,47.58679035250463,FL
University of Central Florida,99.0,86,93-123,"5,521",509,9%,305,60%,515.0,3.91,Yes,Yes,Yes,H/HP/P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Required,UCF Lake Nona Hospital,2791.0,306.0,190.0,80.0,1887.0,155.0,116.0,40.0,4678.0,461.0,306.0,120.0,66.4,62.09,74.84,6.54%,253.0,97%,247.0,98%,8.21,Public,33%,514.0,3.88,120.0,33.33%,YES,6.80759584378359,6.147323794382618,1.1074080480361754,FL
Eastern Virginia,100.0,88,46,"7,630",801,10%,299,37%,513.0,3.8,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,NBME Based,Yes,Optional,Sentara Norfolk General Hospital,1071.0,347.0,161.0,81.0,5779.0,452.0,192.0,70.0,6850.0,799.0,353.0,151.0,44.2,46.4,42.48,5.15%,235.0,99%,245.0,99%,7.82,Public,46%,513.0,3.71,151.0,46.36%,YES,15.032679738562091,3.322374113168368,4.524680010893246,VA
New York Medical College,101.0,90,93-123,"12,336",960,8%,678,71%,516.0,3.8,Yes,Yes,,,,,,,,,1933.0,508.0,243.0,112.0,8863.0,481.0,220.0,100.0,10796.0,989.0,463.0,212.0,46.8,47.83,45.74,4.29%,233.0,99%,241.0,98%,5.43,Private,47%,513.0,3.72,210.0,47.62%,,12.571132953957578,2.482229493399526,5.064452335042092,NY
University of Toledo,102.0,,,"4,274",389,9%,319,82%,510.0,3.82,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,University of Toledo Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carolina University,103.0,93-123,28,"1,165",393,34%,150,38%,507.0,3.73,,,,,,,,,,,1036.0,434.0,143.0,86.0,0.0,0.0,0.0,0.0,1036.0,434.0,143.0,86.0,32.9,32.95,,13.80%,231.0,99%,243.0,96%,,Public,0%,509.0,3.71,86.0,0.00%,,13.803088803088803,,,NC
East Tennessee State,104.0,93-123,64,"3,812",358,9%,149,42%,509.0,3.85,Yes,Yes,Yes,P/F,1.5 Years,H/P/F,NBME Based,Yes,Required,,636.0,251.0,89.0,56.0,1797.0,67.0,24.0,16.0,2433.0,318.0,113.0,72.0,35.5,35.46,35.82,4.64%,229.0,97%,244.0,98%,3.73,Public,22%,508.0,3.81,72.0,22.22%,,13.9937106918239,1.335559265442404,10.477790880503145,TN
Howard University,105.0,,,"8,963",394,4%,341,87%,506.0,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Atlantic University,106.0,93-123,93-123,"5,110",317,6%,192,61%,516.0,3.9,,,,,1.5 Years,,,,,,2134.0,217.0,104.0,43.0,1617.0,105.0,50.0,22.0,3751.0,322.0,154.0,65.0,47.8,47.93,47.62,4.11%,231.0,95%,249.0,100%,6.49,Public,34%,513.0,3.8,65.0,33.85%,YES,4.873477038425492,3.0921459492888066,1.5760824742268043,FL
Florida International University,107.0,93-123,93-123,"6,750",414,6%,278,67%,511.0,3.9,,,,,2 Years,,,,,,2455.0,357.0,215.0,97.0,2418.0,155.0,105.0,23.0,4672.0,553.0,320.0,120.0,57.9,60.42,51.48,6.85%,241.0,100%,246.0,99%,7.74,Public,19%,511.0,3.79,120.0,18.33%,,8.757637474541752,4.3424317617866,2.0167588012801865,FL
Marshall University,108.0,,,"1,916",182,9%,118,65%,506.0,3.83,Yes,Yes,Yes,H/P/F,1.5 Years,H/PF,Both,Yes,Optional,Marshall Health Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Ohio,109.0,,,"5,108",546,11%,343,63%,510.0,3.8,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper (Rowan),110.0,93-123,93-123,"5,032",377,7%,231,61%,514.0,3.88,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Optional,Cooper University Hospital,1205.0,217.0,147.0,82.0,4780.0,177.0,94.0,29.0,5985.0,394.0,241.0,111.0,61.2,67.74,53.11,4.03%,233.0,97%,244.0,96%,3.7,Public,26%,512.0,3.79,107.0,27.10%,YES ,12.199170124481327,1.9665271966527196,6.203407786704335,NJ
Wright State University,112.0,,,"7,556",411,5%,298,73%,509.0,3.82,Yes,Yes,Yes,P/F,1.5 Years,H/P/F,Both,Yes,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical College of Wisconsin,113.0,,,"10,046",814,8%,,-,510.0,3.8,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,No,Optional,Froedtert Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane University,114.0,,,"15,925",572,4%,,-,512.0,3.77,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,Both,No,Optional,"East Jefferson, University Medical Center, VA Hospital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniformed Services,115.0,,,"2,698",614,23%,,-,512.0,3.84,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola University (Stritch),116.0,,,"13,384",532,4%,,-,512.0,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn State University,117.0,,,"11,366",749,7%,,-,511.0,3.84,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Required,Milton S. Hershey Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton University,118.0,,,"6,383",842,13%,,-,515.0,3.89,Yes,Yes,No,H/P/F,2 Years,H/P/F,In-House Exams,No,Optional,Bergan Mercy Hospital and St. Joseph's Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State University,119.0,,,"4,119",358,9%,241,67%,510.0,3.94,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Austin (Dell),120.0,,,"5,576",386,7%,,-,515.0,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiser Permanente (Tyson),121.0,,,"11,587",716,6%,126,18%,517.0,3.85,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State COM,122.0,,,"8,130",931,11%,566,61%,507.0,3.72,Yes,Yes,Yes,P/F,2 Years,H/P/F,In-House Exams,Yes,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU (New Orleans),123.0,,,"4,211",521,12%,,-,510.0,3.86,Yes,Yes,Yes,H/HP/P/F,2 Years,H/HP/P/F,Both,Yes,Required,"Touro Infirmary, Children’s Hospital, and Ochsner Medical Center – Kenner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Medical Branch,124.0,,,"5,511","1,080",20%,,-,513.0,3.87,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,NBME Based,Yes,Required,"John Sealy Hospital, Jennie Sealy Hospital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas COM,125.0,75,39,,,-,,-,500.0,3.5,,,,,1.5 Years,,,,,,338.0,324.0,190.0,160.0,690.0,84.0,18.0,8.0,1028.0,408.0,208.0,168.0,51.0,58.64,21.43,20.23%,224.0,90%,240.0,96%,12.17,Public,5%,508.0,3.77,168.0,4.76%,,56.213017751479285,2.608695652173913,21.54832347140039,AK
University of Arizona (Phoenix),126.0,,,"6,344",445,7%,,-,518.0,3.87,No,No,No,P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of North Dakota,127.0,,,"1,894",188,10%,,-,509.0,3.86,Yes,Yes,Yes,P/F,2 Years,H/P/F,Both,Yes,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Mississippi,128.0,,,421,221,52%,,-,506.0,3.87,Yes,Yes,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosalind Franklin,129.0,,,"11,382",828,7%,,-,513.0,3.8,,,,,2 Years,,NBME Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Illinois University,130.0,,,"1,209",261,22%,,-,507.0,3.86,Yes,Yes,No,P/F,2 Years,P/F,In-House Exams,No,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Medical College,131.0,,,"12,496",720,6%,,-,510.0,3.8,Yes,Yes,,,1.5 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loma Linda University,132.0,,,"6,238",322,5%,,-,511.0,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia COM,133.0,,,"5,215",598,11%,574,96%,501.0,3.59,,,,,1.5 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (Greenville),134.0,90,76,"2,652",353,13%,214,61%,510.0,3.9,Yes,Yes,Yes,P/F,2 Years,A/B/C/D/F,Both,Yes,Required,,462.0,225.0,140.0,73.0,2807.0,115.0,61.0,26.0,3269.0,340.0,201.0,99.0,59.1,62.22,53.04,6.15%,230.0,99%,237.0,99%,4.1,Public,26%,508.0,3.79,100.0,26.00%,,30.303030303030305,2.173138582116138,13.944361649279683,SC
SUNY Downstate,135.0,,,"6,147",925,15%,,-,513.0,3.79,Yes,Yes,Yes,"P, ID, IDP, IDF",2 Years,H/HP/P/F,Both,Yes,Required,SUNY Downstate Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehouse,136.0,,,"7,095",465,7%,,-,507.0,3.72,Yes,Yes,No,H/P/F,2 Years,A/B/C/D/F,Both,No,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Houston,137.0,,,"5,343",247,5%,,-,505.0,3.75,No,No,,P/F,1.5 Years,H/P/F,Both,,Required,HCA Houston Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of North Texas,138.0,,,"4,379",701,16%,402,57%,509.0,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unviersity of South Dakota,139.0,,,868,213,25%,,-,509.0,3.85,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,"Avera, Sanford, Monument",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU (Shreveport),140.0,,,"4,434",325,7%,,-,507.0,3.85,Yes,Yes,,,,H/HP/P/F,NBME Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio University (Heritage),141.0,,,"5,155",481,9%,384,80%,505.0,3.68,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer University,142.0,,,"1,410",430,30%,,-,505.0,3.77,Yes,Yes,,P/F,,P/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Nevada (Vegas),143.0,,,"1,502",300,20%,,-,510.0,3.77,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,Both,Yes,Required,University Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
